endpoint_id;mode_start;mode_duration;label
500;2020-09-02 04:41:00+03;58;Работает
500;2020-09-02 05:39:00+03;11;Холостой ход
499;2020-09-01 18:15:00+03;24;Работает
499;2020-09-01 18:39:00+03;6;Холостой ход
500;2020-09-02 05:50:00+03;12;Работает
500;2020-09-02 06:02:00+03;20;Холостой ход
499;2020-09-01 18:45:00+03;50;Работает
499;2020-09-01 20:02:00+03;143;Работает
499;2020-09-01 22:25:00+03;10;Холостой ход
499;2020-09-01 22:35:00+03;57;Работает
499;2020-09-01 23:32:00+03;23;Холостой ход
499;2020-09-02 02:51:00+03;20;Холостой ход
499;2020-09-02 03:11:00+03;51;Работает
499;2020-09-02 04:02:00+03;25;Холостой ход
499;2020-09-02 04:27:00+03;196;Работает
499;2020-09-02 08:03:00+03;12;Работает
499;2020-09-02 08:15:00+03;9;Холостой ход
499;2020-09-02 08:24:00+03;170;Работает
499;2020-09-02 11:14:00+03;29;Отключено
499;2020-09-02 11:43:00+03;2;Холостой ход
499;2020-09-02 11:45:00+03;149;Работает
499;2020-09-02 14:14:00+03;5;Холостой ход
499;2020-09-02 14:19:00+03;25;Работает
499;2020-09-01 23:55:00+03;5;Работает
499;2020-09-02 00:00:00+03;171;Работает
499;2020-09-01 19:35:00+03;25;Холостой ход
499;2020-09-01 20:00:00+03;2;Холостой ход
499;2020-09-02 08:00:00+03;3;Холостой ход
499;2020-09-02 07:43:00+03;10;Холостой ход
499;2020-09-02 07:53:00+03;7;Холостой ход
500;2020-09-02 06:22:00+03;64;Работает
500;2020-09-02 08:05:00+03;25;Работает
500;2020-09-02 08:30:00+03;24;Холостой ход
500;2020-09-02 08:54:00+03;43;Работает
500;2020-09-02 09:37:00+03;31;Холостой ход
500;2020-09-02 10:08:00+03;14;Работает
500;2020-09-02 10:22:00+03;18;Холостой ход
500;2020-09-02 10:40:00+03;30;Работает
500;2020-09-02 11:10:00+03;53;Холостой ход
500;2020-09-02 12:03:00+03;15;Работает
500;2020-09-02 12:18:00+03;36;Холостой ход
500;2020-09-02 12:54:00+03;9;Работает
500;2020-09-02 13:03:00+03;8;Холостой ход
500;2020-09-02 13:11:00+03;7;Работает
500;2020-09-02 13:18:00+03;38;Холостой ход
500;2020-09-02 13:56:00+03;9;Работает
500;2020-09-02 14:05:00+03;10;Холостой ход
500;2020-09-02 14:15:00+03;7;Работает
500;2020-09-02 14:22:00+03;22;Холостой ход
500;2020-09-02 07:26:00+03;34;Холостой ход
500;2020-09-02 08:00:00+03;3;Холостой ход
500;2020-09-02 08:03:00+03;2;Холостой ход
499;2020-08-27 18:24:00+03;14;Холостой ход
499;2020-08-23 01:12:00+03;99;Работает
499;2020-08-27 18:38:00+03;33;Отключено
499;2020-08-23 11:55:00+03;17;Работает
499;2020-08-20 18:16:00+03;37;Холостой ход
499;2020-08-20 18:53:00+03;16;Работает
499;2020-08-20 19:09:00+03;10;Холостой ход
499;2020-08-27 19:11:00+03;1;Холостой ход
499;2020-08-20 19:19:00+03;16;Работает
499;2020-08-20 20:02:00+03;112;Работает
499;2020-08-27 19:12:00+03;27;Работает
499;2020-08-23 02:51:00+03;6;Холостой ход
499;2020-08-23 02:57:00+03;61;Работает
499;2020-08-22 08:05:00+03;203;Работает
499;2020-08-20 21:54:00+03;9;Холостой ход
499;2020-08-20 22:03:00+03;77;Работает
499;2020-08-27 20:08:00+03;55;Работает
499;2020-08-20 23:20:00+03;6;Холостой ход
499;2020-08-20 23:26:00+03;6;Работает
499;2020-08-23 12:12:00+03;6;Холостой ход
499;2020-08-23 03:58:00+03;28;Отключено
499;2020-08-20 23:32:00+03;24;Холостой ход
499;2020-08-27 21:03:00+03;58;Холостой ход
499;2020-08-23 04:26:00+03;1;Холостой ход
499;2020-08-22 11:28:00+03;17;Отключено
499;2020-08-21 04:01:00+03;25;Холостой ход
499;2020-08-22 11:45:00+03;7;Холостой ход
499;2020-08-23 04:27:00+03;193;Работает
499;2020-08-21 04:26:00+03;21;Работает
499;2020-08-22 11:52:00+03;247;Работает
499;2020-08-21 04:47:00+03;7;Холостой ход
499;2020-08-21 04:54:00+03;2;Работает
499;2020-08-31 20:04:00+03;86;Работает
499;2020-08-21 04:56:00+03;8;Холостой ход
499;2020-08-21 05:04:00+03;11;Работает
499;2020-08-21 05:15:00+03;9;Холостой ход
499;2020-08-21 05:24:00+03;21;Работает
499;2020-08-21 05:45:00+03;5;Холостой ход
499;2020-08-21 05:50:00+03;111;Работает
499;2020-08-31 21:39:00+03;70;Работает
499;2020-08-31 21:30:00+03;9;Холостой ход
499;2020-08-21 08:04:00+03;12;Работает
499;2020-08-21 08:16:00+03;12;Холостой ход
499;2020-08-21 08:28:00+03;15;Работает
499;2020-08-21 08:43:00+03;6;Холостой ход
499;2020-08-21 08:49:00+03;145;Работает
499;2020-08-28 00:44:00+03;42;Холостой ход
499;2020-08-21 11:14:00+03;31;Отключено
499;2020-08-22 15:59:00+03;27;Холостой ход
499;2020-08-21 11:45:00+03;1;Холостой ход
499;2020-08-21 11:46:00+03;58;Работает
499;2020-08-22 16:26:00+03;190;Работает
499;2020-08-28 01:26:00+03;94;Отключено
499;2020-08-21 12:44:00+03;7;Холостой ход
499;2020-08-21 12:51:00+03;89;Работает
499;2020-08-21 14:20:00+03;7;Холостой ход
499;2020-08-28 03:00:00+03;4;Холостой ход
499;2020-08-21 14:27:00+03;49;Работает
499;2020-08-28 03:04:00+03;140;Работает
499;2020-08-21 15:16:00+03;7;Холостой ход
499;2020-08-21 15:23:00+03;36;Работает
499;2020-08-21 15:59:00+03;28;Отключено
499;2020-08-21 16:27:00+03;2;Холостой ход
499;2020-08-21 16:29:00+03;42;Работает
499;2020-08-31 22:49:00+03;8;Холостой ход
499;2020-08-22 20:03:00+03;39;Работает
499;2020-08-21 17:11:00+03;8;Холостой ход
499;2020-08-21 17:19:00+03;141;Работает
499;2020-08-28 05:24:00+03;6;Холостой ход
499;2020-08-31 22:57:00+03;34;Работает
499;2020-08-22 20:42:00+03;9;Холостой ход
499;2020-08-22 20:51:00+03;143;Работает
499;2020-08-21 20:05:00+03;206;Работает
499;2020-08-28 05:30:00+03;128;Работает
499;2020-08-23 11:30:00+03;25;Холостой ход
499;2020-08-21 23:31:00+03;29;Холостой ход
499;2020-08-31 23:31:00+03;23;Отключено
499;2020-08-22 00:00:00+03;240;Работает
499;2020-08-22 23:14:00+03;29;Отключено
499;2020-08-22 23:43:00+03;1;Холостой ход
499;2020-08-22 23:44:00+03;16;Работает
499;2020-08-23 00:00:00+03;5;Холостой ход
499;2020-08-23 08:05:00+03;205;Работает
499;2020-07-08 12:42:00+03;1;Холостой ход
499;2020-07-08 12:43:00+03;194;Работает
499;2020-07-08 15:57:00+03;31;Отключено
499;2020-07-08 16:28:00+03;2;Холостой ход
499;2020-07-08 16:30:00+03;104;Работает
499;2020-07-08 18:14:00+03;8;Холостой ход
499;2020-07-08 18:22:00+03;44;Работает
499;2020-07-08 19:06:00+03;14;Холостой ход
499;2020-07-08 19:20:00+03;19;Работает
499;2020-07-08 20:03:00+03;8;Работает
499;2020-07-08 20:11:00+03;6;Холостой ход
499;2020-07-08 20:17:00+03;194;Работает
499;2020-07-09 00:03:00+03;126;Работает
499;2020-07-09 02:09:00+03;12;Нет данных
499;2020-07-09 02:21:00+03;36;Работает
499;2020-07-09 02:57:00+03;9;Нет данных
499;2020-07-09 03:06:00+03;56;Работает
499;2020-07-09 04:02:00+03;27;Холостой ход
499;2020-07-09 04:29:00+03;46;Работает
499;2020-07-09 05:15:00+03;7;Холостой ход
499;2020-07-09 05:22:00+03;132;Работает
499;2020-07-09 07:34:00+03;6;Холостой ход
499;2020-07-09 08:18:00+03;4;Холостой ход
499;2020-07-09 08:22:00+03;54;Отключено
499;2020-07-09 09:16:00+03;16;Нет данных
499;2020-07-09 09:32:00+03;244;Отключено
499;2020-07-09 13:36:00+03;2;Холостой ход
499;2020-07-09 13:38:00+03;13;Отключено
499;2020-07-09 13:51:00+03;1;Холостой ход
